--------------------------------------------
ID, Registry name, Temp., RainType, Downfall
49, minecraft:deep_cold_ocean,  0.50, rain, 0.50
50, minecraft:deep_frozen_ocean,  0.50, rain, 0.50
51, evilcraft:degraded,  0.80, -, 0.90
52, minecraft:moon,  0.30, -, 0.00
53, minecraft:hotdry,  0.90, -, 0.00
54, minecraft:space,  1.00, -, 0.00
55, minecraft:stormland,  0.60, rain, 2.00
56, minecraft:crystal_chasm,  0.30, snow, 1.00
57, minecraft:deepswamp,  0.90, rain, 0.90
58, minecraft:marsh,  0.50, rain, 0.70
59, minecraft:oceanspires,  0.50, rain, 0.70
60, minecraft:moon_dark,  0.30, -, 0.00
61, minecraft:volcanic,  1.00, -, 0.00
62, minecraft:volcanic_barren,  1.00, -, 0.00
63, terra:nether/soul_valley,  2.00, -, 0.00
64, terra:nether/nether,  2.00, -, 0.00
65, terra:nether/delta,  2.00, -, 0.00
66, terra:nether/warped,  2.00, -, 0.00
67, terra:nether/crimson,  2.00, -, 0.00
68, terra:default/ocean_deep,  0.50, rain, 0.50
69, terra:default/beach,  0.80, rain, 0.40
70, terra:default/mesa,  2.00, -, 0.00
71, terra:default/savanna,  1.20, -, 0.00
72, terra:default/sunflower_plains,  0.80, rain, 0.40
73, terra:default/birch_forest,  0.60, rain, 0.60
74, terra:default/frozen_ocean,  0.00, snow, 0.50
75, terra:default/crag,  0.80, rain, 0.40
76, terra:default/river,  0.50, rain, 0.50
77, terra:default/mountains_pretty,  0.80, rain, 0.40
78, terra:default/lukewarm_ocean_deep,  0.50, rain, 0.50
79, terra:default/rocky_tall_forest,  0.95, rain, 0.90
80, terra:default/tundra,  0.00, snow, 0.50
81, terra:default/oasis,  0.95, rain, 0.90
82, terra:default/lukewarm_ocean,  0.50, rain, 0.50
83, terra:default/river_m,  0.20, rain, 0.30
84, terra:default/bamboo_jungle,  0.95, rain, 0.90
85, terra:default/cold_ocean_deep,  0.50, rain, 0.50
86, terra:default/snowy_taiga, -0.50, snow, 0.40
87, terra:default/mountains_jungle,  0.95, rain, 0.90
88, terra:default/river_m_j,  0.95, rain, 0.90
89, terra:default/yellowstone,  0.20, rain, 0.30
90, terra:default/jungle,  0.95, rain, 0.90
91, terra:default/ocean,  0.50, rain, 0.50
92, terra:default/taiga,  0.25, rain, 0.80
93, terra:default/desert,  2.00, -, 0.00
94, terra:default/river_m_p,  0.80, rain, 0.40
95, terra:default/dark_forest,  0.70, rain, 0.80
96, terra:default/cold_ocean,  0.50, rain, 0.50
97, terra:default/warm_ocean,  0.50, rain, 0.50
98, terra:default/forest,  0.70, rain, 0.80
99, terra:default/mountains_stone,  0.20, rain, 0.30
100, terra:default/warm_ocean_deep,  0.50, rain, 0.50
101, terra:default/river_sky_islands,  0.50, rain, 0.50
102, terra:default/mushroom,  0.90, rain, 1.00
103, terra:default/plains,  0.80, rain, 0.40
104, terra:default/swamp,  0.80, rain, 0.90
105, terra:default/frozen_ocean_deep,  0.00, snow, 0.50
106, terra:default/sky_islands,  0.80, rain, 0.40
107, terra:default/mushroom_beach,  0.90, rain, 1.00
108, terra:default/arid_mountains,  1.20, -, 0.00
127, minecraft:the_void,  0.50, -, 0.50
129, minecraft:sunflower_plains,  0.80, rain, 0.40
130, minecraft:desert_lakes,  2.00, -, 0.00
131, minecraft:gravelly_mountains,  0.20, rain, 0.30
132, minecraft:flower_forest,  0.70, rain, 0.80
133, minecraft:taiga_mountains,  0.25, rain, 0.80
134, minecraft:swamp_hills,  0.80, rain, 0.90
140, minecraft:ice_spikes,  0.00, snow, 0.50
149, minecraft:modified_jungle,  0.95, rain, 0.90
151, minecraft:modified_jungle_edge,  0.95, rain, 0.80
155, minecraft:tall_birch_forest,  0.60, rain, 0.60
156, minecraft:tall_birch_hills,  0.60, rain, 0.60
157, minecraft:dark_forest_hills,  0.70, rain, 0.80
158, minecraft:snowy_taiga_mountains, -0.50, snow, 0.40
160, minecraft:giant_spruce_taiga,  0.25, rain, 0.80
161, minecraft:giant_spruce_taiga_hills,  0.25, rain, 0.80
162, minecraft:modified_gravelly_mountains,  0.20, rain, 0.30
163, minecraft:shattered_savanna,  1.10, -, 0.00
164, minecraft:shattered_savanna_plateau,  1.00, -, 0.00
165, minecraft:eroded_badlands,  2.00, -, 0.00
166, minecraft:modified_wooded_badlands_plateau,  2.00, -, 0.00
167, minecraft:modified_badlands_plateau,  2.00, -, 0.00
168, minecraft:bamboo_jungle,  0.95, rain, 0.90
169, minecraft:bamboo_jungle_hills,  0.95, rain, 0.90
170, minecraft:soul_sand_valley,  2.00, -, 0.00
171, minecraft:crimson_forest,  2.00, -, 0.00
172, minecraft:warped_forest,  2.00, -, 0.00
173, minecraft:basalt_deltas,  2.00, -, 0.00
174, aoa3:abyssal_plains,  0.00, -, 0.65
175, aoa3:asteroid_belt, -1.00, -, 0.00
176, futurepack:asteroid_belt,  0.00, -, 0.00
177, aoa3:barren_grounds,  2.00, -, 0.00
178, aoa3:candy_hills,  0.50, -, 0.50
179, aoa3:cavern_depths,  0.40, -, 0.65
180, aoa3:celevian_highlands,  0.35, -, 0.25
181, aoa3:coral_fields,  0.20, -, 0.90
182, aoa3:creepoid_forest,  0.70, -, 0.60
183, aoa3:crystevian_caverns,  0.30, -, 0.95
184, aoa3:dustopian_forest,  0.40, -, 0.35
185, futurepack:envia,  0.00, -, 0.30
186, aoa3:floral_islands,  0.65, -, 0.75
187, aoa3:fungal_caverns,  0.40, -, 0.85
188, aoa3:greckon_mountains,  0.60, -, 0.50
189, aoa3:haven,  0.70, -, 0.25
190, aoa3:iromine,  0.85, -, 0.40
191, aoa3:lelyetian_plains,  0.70, -, 0.50
192, futurepack:menelaus,  2.00, -, 0.00
193, futurepack:menelaus_flat,  1.80, -, 0.20
194, futurepack:menelaus_forest,  1.50, -, 0.40
195, futurepack:menelaus_mushroom,  2.00, -, 0.00
196, futurepack:menelaus_platau,  1.80, -, 0.20
197, futurepack:menelaus_sea,  1.80, -, 0.30
198, advancedrocketry:moonold,  0.30, -, 0.00
199, aoa3:nowhere,  0.50, -, 0.50
200, aoa3:precasian_tall_forest,  1.90, -, 0.95
201, aoa3:runic_cliffs,  0.45, -, 0.20
202, aoa3:shyre_remnants,  1.65, -, 0.15
203, advancedrocketry:space,  0.50, -, 0.00
204, futurepack:tyros,  1.40, rain, 2.00
205, futurepack:tyros_mountain,  0.90, rain, 2.00
206, futurepack:tyros_palirie_forest,  0.60, rain, 1.20
207, futurepack:tyros_rockdesert,  1.70, rain, 0.10
208, futurepack:tyros_rockdesert_flat,  1.70, rain, 0.10
209, futurepack:tyros_swamp,  1.40, rain, 1.50
210, aoa3:vox_wastes,  0.40, -, 0.30
--------------------------------------------
ID, Registry name, Temp., RainType, Downfall
--------------------------------------------
